0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
+,225164,@,Pausado,11/03/2025 06:15 PM,11/03/2025 06:15 PM,NO,jorge.pertuz,Magdalena,Fundacion,Profesional Universitario,APLICACIONES APP SIMPLIFICA \ VEGETALES FRESCOS \,NO se ha reflejado el pago en la plataforma SIMPLIFICA a la Seccional Magdalena,"Muy comedidamente me dirijo a usted, para dar solución a nivel de soporte técnico con respecto al pago realizado el 14 de febrero del 2025, por Renovación del Registro ICA del predio La Alegría ubicada en la vereda Las Flores, Municipio del El Reten Magdalena, debido que No se ve reflejado dicho pago en la plataforma Simplifica. le agradezco su pronta colaboración, debido a que el registro se encuentra vencido.",480,525,-45,
+,225296,@,Pausado,12/03/2025 03:24 PM,12/03/2025 03:24 PM,SI,claudia.marin,Cundinamarca,Bogota,Coordinadora del Grupo de Registro de Medicamentos y Biologicos,APLICACIONES APP SIMPLIFICA \ ALIMENTOS PARA ANIMALES \,Adición fabricante en el extranjero,LA empresa Punto Fértil esta modificando sus productos adicionando un fabricante en el extranjero pero no se le habilita la sección de documentos obligatorios donde debe anexar el certificado de BPMAA y la carta de autorización,2880,172,2708,
+,225416,,Pausado,13/03/2025 10:37 AM,13/03/2025 10:37 AM,NO,Phaterxon,,,,APLICACIONES APP SIMPLIFICA \ COMERCIALIZACIÓN \,No puedo ingrear a mi cuenta de simplifica,"Intento ingresar a la cuenta de simplifica pero no recuerdo mi cedula , le doy recordar contraseña y pongo los datos y me dice que mi correo no es correcto , he puesto mas de 5 correos posibles y dice que ninguno es Y ADICIONAL DICE QUE con esos datos ""no hay ningun usuario registrado."" Posterior entonces voy a crear una cuenta nueva ""debido a lo que dice en la pestaña de recuperar contraseña"" y cuando voy a poner mi cedula dice que ya esta asiganda, entonces no me deja ni crear una cuenta pero tampoco me deja recuperar la contraseña por que dice que no estoy registrado, cual es la solucion debido a que debo crear la empresa y subir unos registros. Gracias.",480,1,479,
+,225433,@,Pausado,13/03/2025 11:30 AM,13/03/2025 11:30 AM,NO,1303341,,,,APLICACIONES APP SIMPLIFICA \ VEGETALES FRESCOS \,SOLICITUD SOPORTE TECNOLOGICO SIMPLIFICA,"Cordial saludo, Mediante la presente les solicito amablemente, solucion a un problema que se me esta presentado con el aplicativo simplifICA al momento de actualizar los documentos base del registro como analisis de agua, informe fitosanitario y contrato de asistencia tecnica. Y al final me genera un cobro, reinicie la plataforma en varias ocaciones y al mismo tiempo elimine y cree la solitud de la misma manera, obteniedo el mismo resultado. Quedo atento, Feliz dia,",480,185,295,
+,225434,@,Pausado,13/03/2025 11:31 AM,13/03/2025 11:31 AM,NO,Jesussauritha,,,,APLICACIONES APP SIMPLIFICA \ COMERCIALIZACIÓN \,usuario y contraseña,"Me respondieron que ya estaba resuelto mi consulta de acuerdo al correo que recibí el cual adjunto, pero voy a ingresar a la plataforma y el problema persiste al indicarme que el usuario y/o contraseña no existe. Por favor me indica que pasos debo seguir?",480,179,301,
+,225442,@,Pausado,13/03/2025 11:59 AM,13/03/2025 12:00 PM,NO,sandraarevalo,,,,APLICACIONES APP SIMPLIFICA \ PLAGUICIDAS \,Inconsistencia en la plataforma ID 100488 Producto ETEFON AGROCONSULTORIAS 480 SL.,"Estimados Señores SimplifICA Cordial saludo Agradezco amablemente me ayuden a dar solución a la inconsistencia que aparece al momento de dar respuesta al requerimiento hecho por la plataforma para el producto ETEFON AGROCONSULTORIAS 480 SL. ID 100488, este requerimiento tiene plazo máximo para ser subsanado hasta mañana 14/03/2025, donde aparece un cuadro en la parte superior derecha que dice. ¨Los cambios no pueden ser guardados debido a que se generaron modificaciones que incrementan los costos de la operación. Esta inconsistencia se ha presentado en varios tramites al momento de dar respuesta a los requerimientos. Agradezco de su amble ayuda para poder contestar en el tiempo establecido y evitar demoras en los procesos. Adjunto pantallazo de la inconsistencia Cordialmente, Sandra Liliana Arévalo",480,172,308,
+,225446,@,Pausado,13/03/2025 12:15 PM,13/03/2025 12:15 PM,NO,carmenag,,,,APLICACIONES APP SIMPLIFICA \ COMERCIALIZACIÓN \,modificacion,Nos permitimos solicitar el favor el cambio del representante legal y dirección del certificado ICA de la empresa CARMENAGRO SAS Nit 901.346.477-3 para ser actualizado,480,176,304,
+,225463,@,Pausado,13/03/2025 02:07 PM,13/03/2025 02:07 PM,NO,PBD SAS,,,,APLICACIONES APP SIMPLIFICA \ VEGETALES FRESCOS \,crear empresa,"Como creo la empresa dado que me dice que no soy el representante legal , que no coincide la identificación sabiendo que ingreso el nit como tal y la informacion requerida",480,111,369,
+,225709,@,Pausado,17/03/2025 09:39 AM,17/03/2025 07:08 PM,NO,jescobar64,,,,APLICACIONES APP SIMPLIFICA \ ALIMENTOS PARA ANIMALES \,No podemos ingresar a Simplifica Alimentos para animales,"En nuestra compañía PISA FARMACEUTICA DE COLOMBIA S.A , la persona que aparece como representante legal (HERMES PARRA) ya no trabaja con nosotros y el correo que se tiene registrado (cpineres@pisa.com.mx) tampoco existe, lo que hace imposible el ingreso a la plataforma, porque no tenemos acceso al usuario y la clave para poder realizar cualquier tramite en esta. Cual es procedimiento a seguir para ingresar a la plataforma o tener acceso a la clave. Gracias y quedamos atentos",2880,479,2401,
+,225728,@,Pausado,17/03/2025 10:31 AM,17/03/2025 10:32 AM,NO,MINAGRO,,,,APLICACIONES APP SIMPLIFICA \ PLAGUICIDAS \,SOLICITUD INFORMACION,"Desde el pasado jueves 13 de marzo hemos intentado realizar la inclusión de un nuevo proveedor de ingrediente activo para la importacion del Brodifacouma, para la formulacion de nuestro producto Rataquill SB, pero al ingresar aa la solicitud del producto en el módulo de composición siempre nos salle el siguiente error ""a ocurrido un error inesperado en el servidor"" y no nos deja continuar con la solicitud",480,201,279,
+,225778,,Pausado,17/03/2025 02:15 PM,17/03/2025 02:15 PM,NO,selene.lara,Boyaca,Duitama,Profesional Universitario,APLICACIONES APP SIMPLIFICA \ COMERCIALIZACIÓN \,SOLICITUD DE CAMBIO DE TIPO DE IDENTIFICACIÓN,"Cordial salud, solicito el cambio del tipo de documento de la empresa AGROVETERINARIA EL ESTABLO SOMONDOCO, debido a que por error se puso cédula de ciudadanía y lo correcto corresponde a NIT 1054780397-1, gracias",480,44,436,
+,225789,,Pausado,17/03/2025 02:52 PM,17/03/2025 02:52 PM,NO,Fabio Nelson,,,,APLICACIONES APP SIMPLIFICA \ COMERCIALIZACIÓN \,dificultad con la creacion de usuario en plataforma simplifica,"Hemos venido intentando tener contacto con soporte técnico pa realizar el proceso de inscripción en la plataforma simplifica y como todo se hace a través de cerezos, ha sido muy dificil la comunicacion,el último que recibí fue el pasado viernes donde manifiestan lo siguiente: Buenos días, adjunto el documento para solicitar modificación de datos debe ser autorizado por el dueño de los datos, si es necesario favor indicar correo, fechas y horas disponibles para agendar sesión y validar conjuntamente si es necesario, quedamos atentos pero al validar en la plataforma, no encontramos ningún archivo adjunto. les habiamos dejado un número de teléfono para tener un contacto directo y tampoco nos llaman,queremos saber entonces cual va a ser el conducto para poder realizar la inscripción ya que estamos perjudicados sin poder tener acceso a la plataforma y la ayuda de parte de ustedes ha sido muy poca.",480,15,465,
+,225890,@,Pausado,18/03/2025 10:41 AM,18/03/2025 10:41 AM,NO,PE19063,,,,APLICACIONES APP SIMPLIFICA \ VEGETALES FRESCOS \,SOLICITUD MODIFICACION DE DATOS PERSONALES (CORREO),"Buenos dias, adjunto envio el formato firmado para solicitar amablemente el cambio del correo del productor de San Eduardo: Ernesto Mendoza Leguizamo Cedula: 4055675 Telefono: 3107910022",480,63,417,
+,225891,@,Pausado,18/03/2025 10:42 AM,18/03/2025 10:42 AM,NO,CAGP2025*,,,,APLICACIONES APP SIMPLIFICA \ COMERCIALIZACIÓN \,Solicitud de corrección en el aplicativo SimplifICA  Cambio de tipo de documento,"Por medio de la presente, me permito solicitar la corrección de la información registrada en el aplicativo SimplifICA, ya que al momento del registro de la empresa, ingresamos el tipo de documento como ""Cédula de Ciudadanía"" en lugar de ""NIT"". El sistema, al guardar la información, registró automáticamente un NIT y añadió un dígito de verificación. Adjunto el documento correspondiente con la solicitud formal de corrección, esperando su pronta gestión para poder completar el registro de la empresa en el área de trabajo del aplicativo. Quedo atento a su confirmación y cualquier información adicional que requieran.",480,66,414,
+,225924,@,Pausado,18/03/2025 02:49 PM,18/03/2025 02:49 PM,NO,Floramed_Colombia,,,,APLICACIONES APP SIMPLIFICA \ COMERCIALIZACIÓN \,Error en la creación del Usuario,"Cordial Saludo, estaba generando el registro en la plataforma simplifica para la debida actualización, leí mal el encabezado y seleccione :¿La representación legal de la empresa está a cargo de otra empresa?, y no es así. Se creo el usuario bajo el NIT de la sociedad y al momento de realizar la corrección en el sistema para incluir o crear el perfil de la Representante Legal, no esta habilitado, así mismo al realizar el registro de la empresa. Amablemente solicito se anule el registro de la sociedad con el fin de Realizarlo correctamente. Agradezco su atención",480,75,405,
